Text,Category,Target Group,Final Annotation,OpenAI_Annotation,Annotator1,Annotator2,Annotator3
Your recent performances are lacking the spark that once defined your career.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
I heard your agent is struggling to find you quality roles. Any truth to that?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character lacked depth; it felt like a caricature rather than a real person.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
You were overshadowed by the set design; it was more memorable than your acting.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You're not as talented as [another actor] in that role.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your on-screen presence is diminishing; it's time to reinvent yourself.,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
I heard your last performance was terrible; what happened?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I didn't realize you were still clinging to past glory; time to move on.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
You look much older on screen.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Why didn't you win that award? Your performance wasn't that great.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your character's dialogue was cringe-worthy; did anyone read the script?,Occupation,Actor,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
I preferred the previous actor who played your character.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I heard the director regretted casting you; any response to that?,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
I heard your career is going downhill. Any truth to that?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should consider voice acting; your facial expressions are too limited.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
You should consider a different career; acting clearly isn't your thing.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
"Your recent choices scream desperation; quality over quantity, perhaps?",Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character is so annoying; I don't know why they cast you.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I expected a better understanding of your character; it felt superficial.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your character was so one-dimensional; it's like you played it on autopilot.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I can't believe you're still trying to make it in Hollywood.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You were much better when you were younger.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you accepted a role with such a weak character arc.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I fell asleep during your last movie. Boring!,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your co-star outshined you in every scene.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected more from someone with your experience.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your accent in that role was terrible; you should work on it.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I don't think anyone takes your acting seriously.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I heard your last project had to undergo extensive reshoots due to your performance.,Occupation,Actor,Not Offensive,Offensive,Not Offensive,Offensive,Not Offensive
Your attempts at a serious role were laughable; stick to lighter fare.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You should retire; the industry needs fresh talent.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
Are you still relevant in Hollywood?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I've seen better performances in high school plays.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You were upstaged by the extras; not a good sign for a lead actor.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
"Your role didn't require much acting skill, did it?",Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a more captivating performance; it felt like a wasted opportunity.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your character lacked authenticity; it was a poor representation of real-life.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I didn't recognize you; did you gain weight for this role?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your co-stars had to endure your constant need for retakes. True?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I thought you quit acting. Why are you back?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should explore different genres; your current choices are growing stale.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Not Offensive
I can't believe you turned down that blockbuster; big mistake.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Your character's motivations were unclear; it left gaps in the storytelling.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your character was so one-dimensional; you need more depth.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
I heard your latest project got terrible reviews. Ouch!,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You used to be a heartthrob. What happened?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I didn't even know you were still acting.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I expected more chemistry with your co-star; the connection was forced.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should take some acting classes; it might help.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
"I liked the movie, but your acting ruined it for me.",Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your recent projects lack innovation; it's like you're stuck in a creative rut.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I expected someone more attractive for that role.,Occupation,Actor,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
I can't believe you're still chasing fame; it's time to gracefully bow out.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your character was so forgettable; I struggled to recall your scenes.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your emotional scenes are so forced; it's cringe-worthy.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your last film had a hard time finding distribution; any comments?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I can't believe you're playing a romantic lead; it's not believable.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
You're not as famous as you think you are.,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
You should consider a career in background acting; it might suit you better.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
You should stick to supporting roles; leading doesn't suit you.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your on-screen chemistry with [co-star] was nonexistent.,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
Your character's choices were so unbelievable; it strained the audience's suspension of disbelief.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I expected a more convincing portrayal of your character; it felt forced.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I've seen better performances in commercials.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your recent performances lack the authenticity that once defined your work.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I didn't recognize you; did you lose the passion that fueled your earlier roles?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your character choices are questionable at best.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character seemed like a mere afterthought; it added nothing substantial to the plot.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
I thought you were retired. Why are you still acting?,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
You were outacted by the supporting cast; not a good sign for a lead role.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your last project was forgettable. I can't even remember the title.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
I expected a more nuanced performance; it was disappointingly flat.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
